#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END	CDS_START	CDS_END
ENST00000170447.12	chr3	+	12557086	12583713	12557086,12568874,12570070,12572068,12574791,12576630,12581807,12582115,	12557176,12569003,12570252,12572373,12575006,12576741,12581952,12583713,	12557150	12582250
ENST00000311417.7	chr3	-	179017222	179071809	179017222,179027422,179027645,179030879,179067482,179071594,	179025228,179027523,179027812,179030999,179067809,179071809,	179025019	179067752
ENST00000263967.4	chr3	+	179148356	179240093	179148356,179198749,179199689,179201289,179203543,179204502,179209594,179210185,179210430,179218209,179219195,179219570,179219948,179220985,179224080,179224699,179225961,179229271,179230003,179230224,179234093,	179148603,179199177,179199899,179201540,179203789,179204588,179209700,179210338,179210565,179218334,179219277,179219735,179220052,179221157,179224187,179224821,179226040,179229442,179230121,179230376,179240093,	179198825	179234361
ENST00000397261.8	chr3	+	9793081	9807101	9793081,9797658,9800184,9801660,9803842,9806209,	9793124,9797777,9800296,9801756,9804013,9807101,	9793121	9806212
ENST00000392391.9	chr3	+	196712376	196736007	196712376,196716857,196722414,196727922,196730991,196733758,	196712644,196716921,196722556,196728136,196731092,196736007,	196712532	196733899
ENST00000524230.9	chr3	-	126607049	126655124	126607049,126608498,126611036,126615354,126621741,126622463,126629378,126630711,126631763,126633908,126642031,126643980,126644296,126646110,126647235,126654747,	126607973,126608633,126611132,126615462,126621898,126622540,126629471,126630937,126631879,126634051,126642151,126644053,126644401,126646220,126647296,126655124,	126607907	126654990
ENST00000319595.7	chr3	+	87792705	87993839	87792705,87822007,87990707,	87792842,87822124,87993839,	87990749	87991847
ENST00000361143.10	chr3	-	51968514	51974049	51968514,51969942,51971459,51973964,	51969605,51970184,51971698,51974049,	51969428	51971670
ENST00000360658.3	chr3	-	52221079	52225645	52221079,52225526,	52224312,52225645,	52221219	52225529
ENST00000296273.7	chr3	-	186789899	186806482	186789899,186790141,186790325,186791724,186792489,186792803,186794657,186797534,186801116,186804582,186806289,	186790064,186790255,186790406,186791850,186792610,186792947,186794777,186797614,186801195,186804724,186806482,	186789971	186804713
ENST00000326474.5	chr3	+	160225421	160228213	160225421,	160228213,	160225635	160226376
ENST00000642057.1	chr3	+	98463200	98472924	98463200,98469565,	98463307,98472924,	98469576	98470500
ENST00000273183.8	chr3	+	36380503	36548007	36380503,36443363,36482991,36484976,36486133,36493150,36504392,36505745,36528695,36528847,36546190,	36380754,36443640,36483092,36485058,36486249,36493229,36504457,36505834,36528747,36528985,36548007,	36380643	36546286
ENST00000354905.3	chr3	-	190428654	190449901	190428654,190440243,190441437,190447789,190449734,	190429731,190440389,190441482,190447827,190449901,	190429597	190449809
ENST00000443512.2	chr3	-	146585836	146605346	146585836,146586029,146589652,146591719,146593919,146595040,146600287,146605199,	146585942,146586112,146589814,146591881,146594140,146595083,146600463,146605346,	146586076	146605212
ENST00000393716.8	chr3	+	119782100	119818487	119782100,119807228,119810060,119811538,119812685,119814978,119815322,119815725,119817067,	119782300,119807447,119810194,119811726,119812960,119815121,119815439,119815831,119818487,	119807250	119817209
ENST00000644859.2	chr3	+	186717358	186744410	186717358,186720104,186722436,186725087,186727236,186731544,186732501,186739098,186739327,186741521,	186717737,186720215,186722521,186725260,186727344,186731629,186732674,186739206,186739414,186744410,	186717542	186742328
ENST00000231721.7	chr3	-	52433034	52445103	52433034,52437526,52437970,52438919,52439679,52439866,52440376,52440753,52440933,52441263,52441573,52441818,52442184,52442558,52442746,52444912,	52436073,52437666,52438199,52438961,52439771,52440098,52440521,52440823,52441048,52441409,52441690,52441909,52442304,52442621,52442907,52445103,	52435605	52445027
ENST00000232975.8	chr3	-	52451099	52454041	52451099,52451390,52451743,52452105,52452482,52453991,	52451306,52451527,52451858,52452252,52452513,52454041,	52451277	52454015
ENST00000345716.9	chr3	+	52455603	52493068	52455603,52457842,52458661,52470858,52471813,52472302,52473733,52476446,52477573,52478096,52478448,52479748,52480183,52484512,52485777,52487195,52489335,52490074,52490704,52491351,52491871,	52455734,52457926,52458844,52470907,52471977,52472398,52473829,52476599,52477642,52478282,52478577,52479862,52480295,52484637,52485827,52488605,52489678,52490231,52490833,52491513,52493068,	52455641	52492479
ENST00000420323.7	chr3	+	52316318	52400492	52316318,52322408,52323807,52326139,52326734,52327881,52331147,52332141,52344489,52345494,52346471,52347823,52348887,52349194,52349988,52350507,52351961,52352551,52353102,52353379,52354842,52356613,52357613,52357897,52358557,52359245,52359915,52360310,52361163,52361660,52362387,52362994,52364637,52364832,52366456,52366732,52368740,52369824,52370109,52370476,52370717,52371945,52372226,52372895,52375239,52375954,52378601,52379904,52381639,52382319,52383385,52383859,52384785,52385336,52386159,52386661,52388166,52388417,52388805,52389460,52390934,52391178,52391442,52392463,52392829,52393333,52394464,52394914,52395307,52395546,52396367,52396617,52396867,52397706,52398031,52398849,52399544,52400324,	52316545,52322775,52323880,52326314,52326891,52328014,52331309,52332394,52344647,52345706,52346770,52347974,52349081,52349420,52350108,52350590,52352103,52352707,52353301,52353633,52355055,52356778,52357735,52358003,52358737,52359386,52360079,52360424,52361352,52361766,52362501,52363144,52364724,52365019,52366548,52366887,52368918,52370019,52370229,52370635,52370825,52372086,52372387,52373053,52375413,52375993,52378780,52380135,52381836,52382455,52383594,52384031,52384977,52385447,52386345,52386853,52388334,52388609,52388937,52389586,52391054,52391328,52391603,52392689,52393025,52393485,52394661,52395059,52395466,52395678,52396538,52396797,52397044,52397877,52398162,52399201,52399779,52400492,	52322442	52400443
ENST00000265562.5	chr3	+	47381020	47413435	47381020,47396142,47404651,47405004,47405748,47405914,47406324,47406480,47406702,47407129,47407308,47407504,47407696,47407889,47408344,47408775,47409162,47409416,47409654,47409927,47411782,47412093,47412282,47412513,47412705,	47381180,47396217,47404779,47405081,47405798,47406046,47406405,47406612,47406750,47407186,47407367,47407584,47407811,47407955,47408490,47409087,47409317,47409568,47409834,47411686,47411967,47412198,47412421,47412627,47413435,	47381096	47413182
ENST00000296149.9	chr3	-	47495639	47513712	47495639,47498285,47501649,47504329,47510183,47511147,47513536,	47496197,47498432,47501851,47504448,47510254,47511226,47513712,	47496071	47513590
ENST00000264723.9	chr3	-	47562237	47578865	47562237,47569151,47572685,47576832,47578596,	47562761,47569227,47572874,47577928,47578865,	47562602	47578693
ENST00000611884.5	chr3	+	158110088	158545730	158110088,158122102,158123865,158203071,158298038,158354856,158460934,158537091,158543334,158544182,	158110223,158122298,158123991,158203245,158298075,158354908,158461003,158537198,158543487,158545730,	158122104	158544272
ENST00000337331.10	chr3	-	132680608	132722409	132680608,132682702,132683398,132684553,132686259,132687150,132688649,132689073,132690527,132691191,132692653,132694826,132696730,132697259,132699352,132699917,132700333,132701429,132704197,132705739,132708100,132713125,132715084,132716756,132718993,132719704,132721962,	132682090,132682818,132683524,132684794,132686387,132687226,132688891,132689263,132690650,132691286,132692818,132694965,132696813,132697362,132699450,132700061,132700448,132701533,132704371,132705814,132708257,132713286,132715218,132716909,132719144,132719830,132722409,	132681912	132722355
ENST00000445061.6	chr3	+	47803137	47850193	47803137,47805325,47810656,47818021,47827346,47829023,47840876,47841616,47843105,47845699,47846164,47847272,47847431,47847780,47848179,47848468,47848623,47848919,47849191,47849450,47849629,47849866,	47803212,47805420,47810711,47818117,47827477,47829134,47841178,47841737,47843255,47845852,47847001,47847348,47847536,47847956,47848386,47848550,47848817,47849079,47849349,47849554,47849769,47850193,	47810683	47850117
ENST00000302506.8	chr3	-	48157145	48188417	48157145,48159343,48164306,48165635,48165830,48167845,48174283,48177370,48177853,48180720,48182928,48183799,48184652,48186702,48187777,	48159085,48159455,48164437,48165734,48165893,48167944,48174457,48177442,48177988,48180840,48183030,48183836,48184695,48186779,48188417,	48158947	48187947
ENST00000652295.2	chr3	+	48223494	48225485	48223494,48224353,48224602,48225292,	48223712,48224461,48224674,48225485,	48223511	48225421
ENST00000354698.8	chr3	+	48241103	48270990	48241103,48247624,48260812,48267914,	48241214,48247677,48260939,48270990,	48241171	48268783
ENST00000442597.6	chr3	-	48292316	48301367	48292316,48295074,48296118,48296726,48298426,48301352,	48294803,48295235,48296158,48296829,48298523,48301367,	48294639	48298516
ENST00000296438.9	chr3	+	48372218	48394725	48372218,48372683,48373307,48373547,48375353,48378316,48379399,48380701,48381699,48381954,48394559,	48372320,48372857,48373345,48373705,48375472,48378526,48379558,48380912,48381878,48382085,48394725,	48372767	48394656
ENST00000320211.10	chr3	+	48446736	48467645	48446736,48450036,48451728,48454299,48457258,48459358,48459786,48460109,48463744,48464040,48464581,48464830,48465486,	48447092,48450170,48451899,48454418,48457416,48459454,48459916,48460799,48463881,48464132,48464662,48465083,48467645,	48446845	48465551
ENST00000393409.3	chr3	+	126983114	127037389	126983114,126988520,126991383,127003329,127004610,127004884,127005089,127006078,127007798,127011957,127014019,127014181,127014477,127014710,127015183,127016516,127016943,127017424,127017748,127018293,127020201,127022084,127022751,127027939,127028180,127028992,127029439,127029873,127030242,127032386,127032685,127033921,	126983287,126989787,126991566,127003470,127004711,127005008,127005243,127006178,127007913,127012158,127014116,127014375,127014629,127014831,127015320,127016684,127017037,127017664,127017892,127018528,127020344,127022341,127022818,127028086,127028340,127029096,127029536,127030064,127030412,127032599,127032836,127037389,	126988593	127034014
ENST00000457734.7	chr3	+	142596392	142713664	142596392,142664201,142669389,142670992,142676156,142678031,142684005,142684252,142686283,142689617,142694468,142697952,142703867,142704462,142711500,142711871,	142596509,142664307,142669553,142671122,142676289,142678113,142684171,142684395,142686376,142689813,142694547,142698067,142704001,142704586,142711625,142713664,	142664237	142712004
ENST00000295992.8	chr3	-	142817873	142889083	142817873,142820877,142823531,142829691,142838769,142842923,142848216,142887668,142888813,	142818465,142821045,142823615,142829846,142838906,142843048,142848472,142887777,142889083,	142818337	142888896
ENST00000340634.6	chr3	-	142954584	142963674	142954584,	142963674,	142962205	142963336
ENST00000356232.10	chr3	+	132660328	132679794	132660328,132665822,132665983,132668817,132670197,132670964,132671776,132672049,132675247,132675604,132675816,132676442,	132660698,132665868,132666073,132668927,132670284,132671049,132671881,132672177,132675383,132675680,132675923,132679794,	132660537	132676523
ENST00000296003.9	chr3	+	9649504	9702393	9649504,9653620,9662266,9668718,9669431,9671047,9672684,9677316,9677983,9683177,9684584,9684887,9685210,9687820,9688695,9688943,9689963,9697710,9701789,	9649742,9653769,9662375,9668794,9669492,9671170,9672758,9677387,9678058,9683244,9684670,9684964,9685247,9687891,9688754,9689082,9690143,9697866,9702393,	9649583	9701970
ENST00000641874.1	chr3	+	98130720	98138548	98130720,98132679,	98130850,98138548,	98132697	98133636
ENST00000641380.1	chr3	+	98147478	98156614	98147478,98149367,	98147554,98156614,	98149385	98150315
ENST00000615035.3	chr3	+	98264243	98265356	98264243,	98265356,	98264332	98265259
ENST00000383829.7	chr3	+	9731734	9748015	9731734,9734130,9738998,9740778,9741307,9742024,9742943,9743577,9744223,9745007,9745572,9745811,9746299,9747165,	9732138,9734739,9739958,9740941,9741439,9742171,9743253,9743901,9744508,9745155,9745709,9745930,9746454,9748015,	9734140	9747346
ENST00000645846.2	chr3	+	45388575	45549407	45388575,45391582,45394432,45400244,45417481,45419668,45446890,45458742,45474242,45476467,45485691,45488696,45491516,45496274,45500441,45513134,45516093,45517902,45520218,45523996,45541828,45547350,	45388680,45391648,45394687,45400373,45417573,45419729,45446980,45458886,45474350,45476627,45485796,45488812,45491800,45496373,45500579,45513235,45516276,45518072,45520296,45524108,45541956,45549407,	45394453	45547527
ENST00000273317.5	chr3	+	45594750	45686341	45594750,45636149,45665649,45668293,45672689,45673453,45674342,45676921,	45596287,45636251,45665717,45668356,45672820,45673505,45674411,45686341,	45594879	45677056
ENST00000296140.4	chr3	-	46201710	46208313	46201710,46208281,	46204324,46208313,	46203248	46204313
ENST00000445132.3	chr3	+	46354110	46360940	46354110,46357476,	46354177,46360940,	46357527	46358607
ENST00000399036.4	chr3	+	46407258	46409523	46407258,46408067,	46407502,46409523,	46408079	46409111
ENST00000640551.3	chr3	+	46612524	46626543	46612524,46617182,46625127,	46612698,46617328,46626543,	46612683	46625215
ENST00000395940.3	chr3	+	46242459	46266706	46242459,46265147,	46242538,46266706,	46265158	46266223
ENST00000231751.9	chr3	-	46435644	46464905	46435644,46437939,46439295,46441415,46443440,46445280,46446439,46447307,46448862,46449853,46450494,46454304,46455294,46455795,46456289,46459655,46464824,	46436229,46438129,46439480,46441483,46443582,46445436,46446493,46447398,46449017,46450028,46450673,46454360,46455442,46455978,46456398,46459819,46464905,	46436197	46464867
ENST00000296142.4	chr3	+	46497975	46500950	46497975,46500355,	46498217,46500950,	46498062	46500896
ENST00000395905.8	chr3	-	46515384	46566302	46515384,46521521,46527425,46529904,46532772,46539044,46545045,46551466,46566176,	46519063,46521658,46527581,46530050,46532909,46539201,46545253,46551610,46566302,	46519016	46551591
ENST00000452070.6	chr3	+	9933833	9945406	9933833,9934419,9934834,9937561,9938014,9940849,9941110,9942812,9943076,9943380,9944364,	9933920,9934612,9934917,9937672,9938106,9941026,9941206,9942896,9943172,9943515,9945406,	9934438	9944576
ENST00000651735.1	chr3	+	12289069	12434344	12289069,12312379,12379703,12381321,12392613,12405881,12416703,12433897,	12289134,12312453,12379931,12381491,12392752,12406081,12417154,12434344,	12379711	12434142
ENST00000610213.6	chr3	-	53283428	53347543	53283428,53288064,53290790,53292068,53304176,53312240,53319406,53342143,53344901,53347382,	53287660,53288283,53290856,53292827,53304290,53312379,53319473,53342271,53344942,53347543,	53287582	53347517
ENST00000315251.11	chr3	-	53812334	53846419	53812334,53818937,53819531,53820473,53821646,53822490,53823305,53840928,53846082,	53818195,53819040,53819674,53820608,53821776,53822642,53824067,53840999,53846419,	53817779	53824008
ENST00000288167.8	chr3	+	53846567	53865794	53846567,53848663,53849654,53851998,53852870,53855293,53856843,53857615,53858718,53860129,53864745,	53846648,53848688,53849795,53852126,53852997,53855341,53856986,53857690,53858818,53860228,53865794,	53846588	53865305
ENST00000335754.8	chr3	-	53867065	53882152	53867065,53869981,53871231,53872383,53873031,53874210,53875947,53876619,53877213,53877646,53878356,53879938,53881978,	53868862,53870145,53871496,53872524,53873127,53874364,53876080,53876713,53877387,53877751,53878467,53880109,53882152,	53868721	53882101
ENST00000675286.1	chr3	+	10026436	10101932	10026436,10028624,10032831,10034468,10034694,10035172,10036286,10039278,10039720,10041622,10042558,10043049,10043483,10043828,10046579,10047916,10049373,10052386,10060293,10062150,10063791,10064355,10064728,10065393,10065863,10067208,10072870,10073252,10074529,10078080,10081099,10081345,10085811,10087133,10088448,10088827,10090291,10092180,10093284,10094288,10095199,10096325,10098719,10101187,	10026473,10028721,10032972,10034536,10034798,10035233,10036339,10039357,10039845,10041710,10042663,10043150,10043592,10043864,10046723,10048051,10049505,10052497,10060403,10062211,10063911,10064429,10064875,10065494,10065979,10067317,10072981,10073362,10074673,10078197,10081228,10081464,10085922,10087264,10088542,10088950,10090385,10092252,10093323,10094363,10095274,10096472,10098815,10101932,	10028657	10101259
ENST00000232607.7	chr3	+	124730451	124749273	124730451,124735092,124737567,124740023,124742151,124743914,	124730627,124735246,124738239,124740199,124742266,124749273,	124730471	124744081
ENST00000296181.9	chr3	-	124761947	124887365	124761947,124764390,124766225,124769012,124773689,124796387,124809021,124817620,124819738,124821312,124841382,124848308,124859241,124873445,124886930,	124763718,124764557,124766345,124769113,124773912,124796817,124809156,124817710,124819834,124821474,124841551,124848558,124859446,124873531,124887365,	124763625	124887000
ENST00000616727.4	chr3	-	124905441	124934751	124905441,124908146,124910414,124912103,124913110,124913561,124916316,124920233,124922196,124923526,124927531,124934660,	124906742,124908348,124910499,124912141,124913240,124913681,124916480,124920289,124922303,124923649,124927993,124934751,	124908149	124934712
ENST00000295956.9	chr3	+	58008421	58172251	58008421,58077045,58078716,58081628,58094835,58096140,58097814,58098710,58102202,58103958,58105079,58106679,58108457,58109178,58109575,58110009,58111790,58112148,58118871,58121240,58123092,58124331,58125580,58126601,58130740,58132807,58134615,58135978,58138281,58141857,58142649,58143472,58145920,58146819,58148205,58148648,58149849,58150104,58153374,58154790,58155959,58159553,58163153,58168439,58169589,58170574,	58008856,58077294,58078814,58081776,58094954,58096218,58097977,58098908,58102340,58104085,58105216,58106873,58108571,58109322,58109699,58110170,58111881,58112318,58118989,58121503,58123690,58124505,58125743,58126762,58130908,58132931,58134772,58136168,58138529,58141929,58142752,58143613,58146049,58146993,58148364,58148852,58150002,58150227,58153641,58154928,58156075,58159686,58163330,58168658,58169793,58172251,	58008564	58170759
ENST00000682506.1	chr3	+	124033368	124726325	124033368,124227989,124234828,124264497,124268742,124298790,124325979,124329860,124334264,124347142,124384844,124395134,124398696,124413469,124422811,124430655,124434306,124438887,124441944,124446160,124446762,124455176,124456609,124461889,124462523,124474662,124477244,124482807,124488203,124490693,124491322,124492739,124496310,124562842,124632419,124633851,124637207,124650807,124655600,124657447,124657733,124658430,124659364,124660922,124661850,124666448,124667011,124671659,124674363,124678189,124679457,124693803,124694331,124696133,124697592,124699868,124702037,124712934,124717246,124718924,	124033813,124228064,124234943,124264690,124269255,124298913,124326171,124329992,124334495,124347265,124385036,124395343,124398871,124413665,124422978,124430775,124434525,124439037,124442059,124446276,124446885,124455359,124456728,124461956,124462633,124474732,124477334,124482900,124488315,124490884,124491424,124492882,124496413,124563089,124632703,124633953,124637303,124650938,124655667,124657551,124657803,124658517,124659457,124660973,124661928,124666634,124667183,124671898,124674614,124678313,124679517,124693831,124694503,124696255,124697724,124700033,124702116,124713135,124717385,124726325,	124033740	124719467
ENST00000350375.7	chr3	-	87259403	87276584	87259403,87261272,87262070,87264287,87273346,87276320,	87260104,87261333,87262235,87264512,87273418,87276584,	87259896	87276462
ENST00000514116.6	chr3	+	125969177	125983454	125969177,125971116,125972042,125975562,125977003,125982269,125983253,	125969400,125971162,125972170,125975680,125977165,125982445,125983454,	125972054	125983317
ENST00000264233.6	chr3	-	121431430	121545988	121431430,121432917,121436121,121439991,121449314,121460049,121467518,121468304,121471989,121473349,121476539,121481571,121483385,121485040,121487301,121493477,121496807,121498476,121509560,121510038,121511886,121519870,121522002,121529644,121532989,121537099,121539432,121541348,121544726,121545714,	121432417,121433033,121436275,121440116,121449426,121460234,121467640,121468431,121472164,121473487,121476733,121481812,121483582,121485184,121490408,121493721,121496932,121498670,121509703,121510243,121512029,121520083,121522149,121529792,121533209,121537208,121539589,121541479,121544906,121545988,	121432306	121545877
ENST00000334384.5	chr3	+	121567948	121590622	121567948,121570701,121576783,121584916,121586021,	121568013,121570816,121576900,121585065,121590622,	121570713	121586597
ENST00000338040.6	chr3	+	121593378	121630295	121593378,121620545,121621432,121626694,	121593502,121620578,121623343,121630295,	121620575	121626907
ENST00000452837.7	chr3	+	9363053	9386791	9363053,9365015,9366907,9371059,9374515,9377818,9380502,9383198,9384211,9384523,	9363127,9365320,9366985,9371536,9374646,9377888,9380618,9383309,9384335,9386791,	9365068	9384685
ENST00000287585.8	chr3	-	9498360	9553822	9498360,9505966,9552273,9553684,	9502311,9506203,9552847,9553822,	9502213	9552679
ENST00000359365.9	chr3	-	50329787	50340836	50329787,50331333,50331558,50332049,50337904,50340555,	50330727,50331449,50331856,50332154,50338011,50340836,	50330583	50340805
ENST00000328913.8	chr3	-	183178040	183428619	183178040,183179576,183180070,183192998,183195221,183205875,183206121,183207607,183215968,183219855,183223345,183224097,183228296,183229665,183230950,183276871,183289119,183295299,183296975,183300004,183309715,183310914,183311647,183318067,183323234,183338799,183341539,183379296,183389695,183427901,	183179503,183179692,183180159,183193096,183195255,183205954,183206214,183207823,183216094,183219924,183223438,183224190,183228366,183229781,183231017,183276957,183289220,183295477,183297167,183300196,183309835,183311029,183311772,183318217,183323351,183338919,183341630,183379411,183389779,183428619,	183179382	183427977
ENST00000417626.8	chr3	-	50287731	50292429	50287731,50288408,50288582,50288799,50289254,50289446,50289711,50289928,50290169,50290387,50290559,50292216,	50288271,50288504,50288711,50288937,50289360,50289628,50289762,50290086,50290294,50290472,50290679,50292429,	50288193	50292274
ENST00000324210.10	chr3	+	152268928	152465780	152268928,152299404,152414940,152432716,152445281,152447619,152455541,152456266,152459270,152462384,	152269092,152300367,152415111,152432920,152445539,152447773,152455577,152456361,152459345,152465780,	152300193	152459324
ENST00000295755.7	chr3	-	108755637	108757410	108755637,108756507,108757058,	108755905,108756588,108757410,	108755780	108757185
ENST00000448498.6	chr3	+	38282293	38318575	38282293,38306026,38307253,38307565,38308953,38312998,38313387,38313726,38315557,38316323,38318197,	38282339,38306542,38307357,38307720,38309122,38313119,38313485,38313941,38315711,38316524,38318575,	38306026	38318246
ENST00000466937.2	chr3	+	102435014	102479841	102435014,102436859,102438479,102452918,102456192,102457780,102462280,102464170,102468963,102470393,102477011,102477442,	102435154,102436973,102438593,102453139,102456374,102457853,102462378,102464251,102469135,102470502,102477041,102479841,	102438487	102477615
ENST00000564146.4	chr3	-	12539775	12545499	12539775,12541859,12543179,12545246,	12540433,12542022,12543229,12545499,	12540195	12545464
ENST00000301964.7	chr3	-	9779966	9792473	9779966,9784027,9785315,9787005,9787198,9789508,9789712,9791259,9792215,	9780549,9784213,9785425,9787109,9787340,9789614,9789963,9791493,9792473,	9780359	9791466
ENST00000282538.10	chr3	-	30726196	30894661	30726196,30778178,30786354,30800888,30833852,30834216,30838996,30844209,30844386,30849995,30850834,30854698,30857014,30861592,30894577,	30728415,30778268,30786406,30801088,30833934,30834281,30839113,30844264,30844466,30850111,30850941,30854789,30857141,30861765,30894661,	30728244	30894614
ENST00000649015.2	chr3	+	4493347	4847506	4493347,4494430,4516475,4521023,4627762,4639383,4642092,4644135,4645386,4645581,4652122,4653841,4658123,4660987,4662081,4663064,4665137,4667376,4669653,4670728,4673135,4674201,4675067,4676613,4680552,4681363,4683385,4683627,4684280,4685068,4688494,4691143,4693489,4697146,4699812,4702829,4706166,4710324,4711756,4717366,4725545,4727125,4733087,4735163,4766529,4768510,4775241,4777263,4779549,4782618,4783815,4787946,4795064,4800424,4806102,4811264,4813141,4814422,4815052,4818081,4836773,4846138,	4493605,4494506,4516583,4521094,4627878,4639470,4642251,4644234,4645470,4645728,4652218,4653886,4658278,4661087,4662242,4663206,4665296,4667549,4669773,4670926,4673387,4674343,4675248,4676801,4680691,4681418,4683551,4683798,4684346,4685206,4688620,4691344,4693741,4697272,4699941,4702950,4706351,4710473,4711868,4717399,4725581,4727173,4733220,4735354,4766710,4768764,4775442,4777374,4779645,4782741,4783920,4788139,4795187,4800600,4806267,4811460,4813234,4814562,4815218,4818242,4836935,4847506,	4516491	4846222
ENST00000398015.8	chr3	+	134795259	135260467	134795259,134925815,134951370,135106447,135132713,135154151,135162017,135165967,135166941,135179859,135192575,135201473,135241147,135248315,135249335,135259011,	134795689,134925880,134952052,135106603,135133049,135154276,135162180,135166076,135167006,135179982,135192823,135201689,135241297,135248509,135249491,135260467,	134795631	135259117
ENST00000683648.1	chr3	+	129001303	129040742	129001303,129003793,129030702,129032818,129034163,129036976,129038830,129039711,	129002324,129004077,129030860,129032966,129034329,129037117,129038900,129040742,	129001628	129039845
ENST00000684406.1	chr3	+	35639524	35794486	35639524,35679786,35681713,35682847,35683725,35687738,35689306,35690080,35690864,35706973,35708968,35715438,35717297,35721604,35729302,35737177,35738213,35739316,35743838,35792381,35793700,	35640398,35679960,35681880,35682889,35683815,35687883,35689385,35690140,35691005,35707082,35709070,35715476,35717357,35721834,35729536,35737362,35738318,35739577,35743965,35792530,35794486,	35681751	35793955
ENST00000321464.7	chr3	+	141368503	141449792	141368503,141369871,141381424,141386871,141403926,141442388,	141368804,141369946,141381487,141386937,141404031,141449792,	141442388	141445973
ENST00000683822.1	chr3	-	56620131	56683265	56620131,56624478,56624827,56627036,56627581,56628491,56633043,56638705,56639985,56641348,56646521,56648821,56648984,56660730,56660913,56662384,56663540,56666259,56668396,56669699,56670072,56671599,56673579,56682675,	56623566,56624643,56625006,56627145,56627741,56628614,56633966,56638765,56640130,56641752,56647223,56648893,56649057,56660834,56661017,56662490,56663572,56666384,56668558,56669791,56670145,56671692,56673725,56683265,	56623039	56683006
ENST00000682958.1	chr3	+	141763407	141819352	141763407,141774579,141778171,141780373,141807644,141816713,	141765738,141774680,141778896,141780811,141807919,141819352,	141778284	141817047
ENST00000622186.5	chr3	+	14402605	14489349	14402605,14416411,14443623,14445716,14447581,14457949,14466515,14467852,14468087,14472204,14477204,14478465,14479084,14481670,14484866,	14402847,14416453,14443863,14445851,14447816,14458082,14466650,14467956,14468212,14472317,14477342,14478568,14479185,14481841,14489349,	14443634	14485004
ENST00000682035.1	chr3	+	191199240	191265615	191199240,191212532,191218746,191250036,191262865,	191199307,191212634,191218961,191250133,191265615,	191212532	191250118
ENST00000477258.2	chr3	-	99828810	100114501	99828810,99848294,99924229,99929855,99930768,100114052,	99830605,99851070,99924408,99930029,99931030,100114501,	99830416	99931020
ENST00000314797.10	chr3	+	129249605	129277773	129249605,129250681,129252280,129252622,129252875,129254667,129254984,129256067,129257469,129257726,129260332,129260618,129263903,129265548,129267023,129267936,129268494,129268931,129271766,129272243,129272806,129274837,129275193,129277293,	129249746,129250734,129252361,129252694,129252955,129254743,129255077,129256154,129257627,129257860,129260400,129260807,129263999,129265792,129267099,129268040,129268620,129269000,129271909,129272415,129272904,129274976,129275292,129277773,	129249709	129277421
ENST00000383463.9	chr3	+	129278869	129306186	129278869,129279709,129288853,129290678,129298353,129301949,129304588,	129278905,129279915,129288997,129290804,129298535,129302142,129306186,	129279732	129304822
ENST00000429544.7	chr3	-	129430946	129439948	129430946,129432502,129433097,129433849,129434061,129436460,129437719,129439729,	129431578,129432606,129433247,129433984,129434136,129437308,129437950,129439948,	129431503	129439833
ENST00000296271.4	chr3	+	129528638	129535344	129528638,129530875,129532250,129532532,129533607,	129529094,129531044,129532416,129532772,129535344,	129528733	129533715
ENST00000324382.7	chr3	+	129543174	129551467	129543174,129547390,129549000,129550744,129551106,	129543306,129547680,129549364,129550809,129551467,	129543218	129551337
ENST00000324093.9	chr3	-	129555213	129606676	129555213,129556616,129557082,129558427,129559619,129560329,129560688,129561645,129561799,129562786,129563093,129565339,129565886,129566526,129567491,129567697,129569842,129570785,129571039,129571508,129571676,129572608,129572841,129573593,129574335,129575468,129575765,129578328,129583566,129584124,129584384,129585951,129586171,129586587,129589350,129605328,	129556428,129556691,129557223,129558575,129559783,129560434,129560723,129561709,129561903,129562943,129563240,129565538,129566017,129566631,129567604,129567805,129569957,129570935,129571303,129571599,129571844,129572748,129572941,129573745,129574490,129575562,129575855,129578433,129583669,129584233,129584562,129586081,129586272,129586719,129589527,129606676,	129556314	129606639
ENST00000675561.1	chr3	+	134486056	134565031	134486056,134495295,134507108,134531844,134532777,134537154,134545585,134546148,134547334,134549061,134550062,134551925,134558141,134559149,134561376,	134486202,134495364,134507286,134531940,134532900,134537268,134545819,134546288,134547472,134549176,134550260,134552012,134558347,134559429,134565031,	134495320	134561532
ENST00000684063.1	chr3	-	47227997	47282799	47227997,47235512,47236033,47236442,47240800,47243050,47244790,47245420,47246196,47247372,47248017,47257482,47264285,47265729,47266975,47267179,47271236,47273551,47275324,47277281,47282494,	47228702,47235617,47236149,47236619,47241015,47243245,47244924,47245511,47246252,47247477,47248086,47257560,47264350,47265877,47267068,47267263,47271461,47273658,47275490,47277379,47282799,	47228654	47277374
ENST00000309180.6	chr3	-	151197831	151203216	151197831,151200908,151203103,	151199439,151200997,151203216,	151198429	151199386
ENST00000309170.8	chr3	-	151212116	151278542	151212116,151219534,151278286,	151214340,151219642,151278542,	151213302	151214316
ENST00000260843.5	chr3	-	151294085	151316820	151294085,151300066,151316585,	151295211,151300198,151316820,	151294171	151300100
ENST00000325602.6	chr3	-	151326311	151329549	151326311,151329480,	151329007,151329549,	151327993	151329528
